        Frequency / GHz                S1,1/abs,linear                S1,1/arg,degrees
----------------------------------------------------------------------------------------------------------------
             0.099999994                      0.26117771                       186.70816
                  0.1699                      0.26691824                       191.16341
              0.23979999                      0.27535276                       195.28828
              0.30969998                      0.28618347                       199.00404
              0.37959999                      0.29907453                       202.27117
              0.44949999                      0.31368324                       205.08294
                  0.5194                       0.3296818                        207.4561
              0.58929998                      0.34677009                       209.42192
              0.65919995                      0.36468114                       211.01881
              0.72909999                      0.38318153                       212.28736
              0.79899997                      0.40206957                       213.26717
              0.86889994                      0.42117188                       213.99508
              0.93879998                      0.44033972                        214.5044
                  1.0087                      0.45944577                       214.82497
               1.0785999                      0.47838096                       214.98275
                  1.1485                      0.49705181                       215.00068
                  1.2184                      0.51537847                       214.89864
                  1.2883                      0.53329266                       214.69401
               1.3582001                      0.55073647                       214.40189
               1.4280999                      0.56766116                       214.03557
               1.4979999                      0.58402583                       213.60662
               1.5678999                      0.59979737                       213.12517
               1.6377999                      0.61494891                        212.6002
               1.7076999                      0.62946001                       212.03972
               1.7775999                      0.64331596                       211.45074
                  1.8475                      0.65650706                       210.83949
                  1.9174                       0.6690288                       210.21163
               1.9872999                      0.68088115                       209.57209
                  2.0572                       0.6920683                       208.92537
                  2.1271                      0.70259855                        208.2755
               2.1969998                      0.71248397                       207.62602
               2.2668998                      0.72173997                       206.98014
               2.3367999                      0.73038487                       206.34074
               2.4066999                      0.73844037                       205.71031
               2.4765999                      0.74593023                       205.09105
                  2.5465                      0.75288089                       204.48497
               2.6163998                      0.75932027                       203.89366
               2.6862998                      0.76527836                       203.31856
               2.7561998                      0.77078624                       202.76082
               2.8260999                      0.77587588                       202.22139
               2.8959999                      0.78058027                       201.70094
               2.9658999                      0.78493228                        201.1999
                  3.0358                      0.78896491                       200.71855
                  3.1057                      0.79271091                       200.25694
               3.1756001                      0.79620223                       199.81492
               3.2454998                      0.79946996                        199.3922
               3.3153999                      0.80254373                       198.98821
               3.3852999                      0.80545195                       198.60234
                  3.4552                      0.80822102                       198.23375
                  3.5251                       0.8108755                       197.88158
                   3.595                      0.81343755                       197.54476
               3.6649001                      0.81592739                       197.22218
               3.7347999                      0.81836248                       196.91271
               3.8046999                      0.82075804                        196.6151
               3.8745999                      0.82312675                       196.32805
                  3.9445                      0.82547865                       196.05037
                  4.0144                      0.82782143                       195.78078
                  4.0843                      0.83016053                       195.51814
               4.1542001                      0.83249899                       195.26125
               4.2241001                       0.8348377                       195.00902
               4.2940001                       0.8371761                       194.76048
               4.3638997                      0.83951133                       194.51467
               4.4338002                      0.84183942                       194.27083
               4.5036998                      0.84415508                       194.02822
               4.5735998                      0.84645184                       193.78621
               4.6434999                      0.84872284                       193.54445
               4.7133999                      0.85096028                       193.30244
               4.7832999                      0.85315637                       193.06001
                  4.8532                      0.85530302                         192.817
                  4.9231                      0.85739255                       192.57335
                   4.993                      0.85941741                       192.32914
               5.0629001                      0.86137063                       192.08446
               5.1327996                      0.86324591                       191.83958
               5.2026997                      0.86503788                       191.59475
               5.2725997                      0.86674183                       191.35029
               5.3424997                      0.86835434                       191.10658
               5.4123998                      0.86987292                       190.86405
               5.4822998                      0.87129594                       190.62312
               5.5521998                      0.87262332                       190.38423
               5.6220999                      0.87385574                       190.14784
               5.6919999                      0.87499523                       189.91432
               5.7618999                      0.87604449                       189.68417
               5.8317995                      0.87700735                       189.45769
                  5.9017                      0.87788857                       189.23527
               5.9715996                      0.87869348                       189.01721
               6.0415001                      0.87942827                       188.80377
               6.1113997                      0.88009939                       188.59516
               6.1813002                      0.88071409                       188.39151
               6.2511997                      0.88127938                       188.19293
               6.3210998                      0.88180274                       187.99947
               6.3909998                      0.88229158                       187.81107
               6.4608998                      0.88275332                       187.62765
               6.5307999                      0.88319481                       187.44911
               6.6006999                      0.88362277                       187.27524
               6.6705999                       0.8840434                       187.10581
                  6.7405                      0.88446235                       186.94052
               6.8103995                      0.88488469                       186.77908
                  6.8803                      0.88531467                       186.62115
               6.9501996                      0.88575593                       186.46637
               7.0201001                        0.886211                       186.31434
               7.0899997                      0.88668223                       186.16469
               7.1599002                      0.88717053                         186.017
               7.2297997                      0.88767628                       185.87093
               7.2996998                      0.88819933                       185.72606
               7.3695998                      0.88873838                       185.58208
               7.4394994                      0.88929187                       185.43863
               7.5093999                      0.88985751                       185.29544
               7.5792994                       0.8904323                       185.15223
                  7.6492                      0.89101314                       185.00876
               7.7190995                      0.89159643                       184.86485
                   7.789                       0.8921784                       184.72038
               7.8588996                       0.8927549                       184.57522
               7.9288001                      0.89332216                        184.4293
               7.9986997                      0.89387598                       184.28262
               8.0685997                      0.89441269                        184.1352
               8.1385002                      0.89492851                       183.98705
               8.2083998                      0.89542012                        183.8383
               8.2783003                      0.89588435                       183.68906
               8.3481998                      0.89631867                       183.53944
               8.4181004                      0.89672084                       183.38967
               8.4879999                      0.89708923                       183.23987
               8.5578995                      0.89742232                       183.09026
                  8.6278                      0.89771966                       182.94103
               8.6977005                      0.89798105                       182.79242
               8.7675991                      0.89820668                       182.64459
               8.8374996                      0.89839732                       182.49774
               8.9074001                      0.89855437                       182.35207
               8.9773006                       0.8986794                       182.20773
               9.0471992                      0.89877453                        182.0649
               9.1170998                      0.89884208                       181.92368
               9.1870003                      0.89888472                       181.78416
               9.2568989                      0.89890536                       181.64647
               9.3267994                      0.89890704                       181.51064
               9.3966999                      0.89889283                       181.37669
               9.4666004                      0.89886576                       181.24463
                9.536499                        0.898829                       181.11441
               9.6063995                      0.89878545                       180.98599
                  9.6763                      0.89873801                       180.85929
               9.7461996                      0.89868932                       180.73419
               9.8160992                      0.89864147                        180.6106
               9.8859997                      0.89859674                       180.48834
               9.9559002                      0.89855664                        180.3673
                 10.0258                       0.8985227                       180.24725
               10.095699                      0.89849565                       180.12809
                 10.1656                      0.89847632                       180.00957
               10.235499                      0.89846474                       179.89156
                 10.3054                      0.89846071                       179.77386
               10.375299                       0.8984638                       179.65631
                 10.4452                      0.89847299                       179.53874
                 10.5151                      0.89848713                       179.42103
                  10.585                      0.89850482                       179.30299
                 10.6549                      0.89852409                       179.18455
                 10.7248                      0.89854327                       179.06561
                 10.7947                      0.89856019                       178.94607
                 10.8646                      0.89857258                       178.82589
                 10.9345                      0.89857837                       178.70502
               11.004399                      0.89857514                       178.58345
                 11.0743                      0.89856081                       178.46118
                 11.1442                      0.89853322                       178.33825
                 11.2141                      0.89849038                       178.21471
               11.283999                      0.89843043                       178.09057
                 11.3539                      0.89835187                       177.96598
                 11.4238                       0.8982531                       177.84096
               11.493699                        0.898133                       177.71565
                 11.5636                      0.89799094                       177.59015
                 11.6335                      0.89782588                       177.46457
                 11.7034                      0.89763782                       177.33902
               11.773299                      0.89742653                       177.21362
                 11.8432                       0.8971923                       177.08849
                 11.9131                      0.89693562                       176.96372
               11.982999                      0.89665721                       176.83945
               12.052899                      0.89635806                        176.7157
                 12.1228                       0.8960392                       176.59259
                 12.1927                      0.89570212                       176.47022
               12.262599                       0.8953482                       176.34863
                 12.3325                      0.89497886                       176.22785
                 12.4024                      0.89459595                       176.10785
                 12.4723                      0.89420087                       175.98871
               12.542199                      0.89379537                       175.87042
                 12.6121                      0.89338101                        175.7529
                  12.682                      0.89295925                       175.63617
                 12.7519                      0.89253153                       175.52014
               12.821799                       0.8920991                       175.40478
                 12.8917                      0.89166298                       175.29001
               12.961599                       0.8912241                       175.17572
                 13.0315                      0.89078313                       175.06182
               13.101399                      0.89034067                       174.94824
                 13.1713                      0.88989684                        174.8349
               13.241199                      0.88945165                       174.72165
               13.311099                        0.889005                       174.60839
                  13.381                      0.88855652                       174.49505
                 13.4509                      0.88810556                       174.38154
                 13.5208                      0.88765119                       174.26776
               13.590699                      0.88719262                       174.15365
                 13.6606                      0.88672861                       174.03912
               13.730499                      0.88625804                       173.92413
                 13.8004                      0.88577953                       173.80859
               13.870299                      0.88529152                       173.69256
                 13.9402                      0.88479273                       173.57593
               14.010099                      0.88428169                       173.45874
                   14.08                      0.88375685                         173.341
               14.149899                      0.88321681                       173.22271
               14.219799                      0.88266033                       173.10388
                 14.2897                      0.88208613                       172.98463
                 14.3596                      0.88149314                       172.86489
                 14.4295                      0.88088026                       172.74485
               14.499399                      0.88024667                       172.62446
                 14.5693                       0.8795918                       172.50385
                 14.6392                      0.87891505                       172.38312
               14.709099                      0.87821603                       172.26227
               14.778999                      0.87749462                       172.14148
                 14.8489                      0.87675094                       172.02075
                 14.9188                      0.87598503                       171.90014
               14.988699                      0.87519722                       171.77982
               15.058599                      0.87438806                       171.65976
                 15.1285                      0.87355809                        171.5401
                 15.1984                      0.87270804                       171.42084
               15.268299                      0.87183861                       171.30201
                 15.3382                      0.87095079                       171.18371
                 15.4081                      0.87004531                       171.06589
               15.477999                       0.8691232                       170.94861
               15.547899                      0.86818544                       170.83185
                 15.6178                      0.86723273                       170.71564
                 15.6877                      0.86626597                       170.59992
               15.757599                      0.86528611                       170.48474
               15.827499                       0.8642936                       170.36996
                 15.8974                      0.86328919                       170.25565
               15.967299                      0.86227324                        170.1417
               16.037199                      0.86124612                       170.02804
                 16.1071                      0.86020801                        169.9147
                  16.177                      0.85915891                       169.80154
               16.246899                      0.85809892                        169.6886
               16.316799                      0.85702766                       169.57575
                 16.3867                      0.85594475                       169.46288
               16.456598                      0.85484974                       169.35009
               16.526499                      0.85374197                       169.23724
