        Frequency / GHz                Eps' (Fit)/real
----------------------------------------------------------------------
             0.099999994                       90.631172
               0.1068411                       88.465073
              0.11415021                       86.423111
              0.12195934                        84.49176
              0.13030271                       82.660622
              0.13921684                       80.921936
              0.14874083                       79.270134
              0.15891632                       77.701294
              0.16978796                       76.212738
              0.16996996                       76.189285
              0.18140334                       74.802528
              0.19381332                       73.469109
               0.2070723                       72.210991
              0.22123833                       71.026466
              0.23637347                       69.913467
              0.23993993                       69.671257
              0.25254402                       68.869461
              0.26982084                       67.891403
              0.28827953                       66.975777
              0.30800104                       66.118652
              0.30990991                       66.041458
               0.3290717                       65.315804
              0.35158384                       64.562805
              0.37563604                       63.855175
              0.37987986                       63.739227
              0.40133372                       63.188499
              0.42878938                        62.55854
              0.44984984                       62.122768
               0.4581233                       61.961357
              0.48946396                       61.393372
               0.5198198                       60.899597
              0.52294868                       60.851452
              0.55872416                       60.332928
              0.58978975                       59.924774
              0.59694707                       59.835617
              0.63778484                       59.357803
               0.6597597                       59.120312
              0.68141639                       58.898193
              0.72803277                       58.455868
              0.72972971                       58.440609
              0.77783817                        58.03019
              0.79969966                       57.856724
              0.83105093                       57.620724
              0.86966968                       57.348866
              0.88790399                       57.227139
              0.93963957                       56.902676
              0.94864637                       56.849125
               1.0096096                        56.50721
               1.0135443                       56.486294
               1.0795795                        56.15387
               1.0828819                       56.138115
               1.1495495                       55.835743
               1.1569629                        55.80386
               1.2195195                        55.54718
                1.236112                       55.482559
               1.2894895                       55.283512
               1.3206757                        55.17297
               1.3594594                       55.040859
               1.4110245                       54.873573
               1.4294293                       54.815983
               1.4993994                       54.606152
               1.5075542                       54.582565
               1.5693693                       54.409061
               1.6106875                       54.297863
               1.6393393                       54.222775
               1.7093092                       54.045635
               1.7208762                       54.017132
               1.7792792                       53.876236
               1.8386033                       53.737778
               1.8492492                       53.713379
               1.9192191                       53.556042
                1.964384                       53.456993
               1.9891891                       53.403339
                2.059159                        53.25452
               2.0987694                       53.171749
               2.1291289                        53.10894
               2.1990991                       52.966034
               2.2423484                       52.878826
                2.269069                       52.825317
               2.3390388                       52.686386
               2.3957498                       52.574833
               2.4090087                        52.54887
               2.4789791                        52.41246
                2.548949                       52.276897
               2.5596457                       52.256229
               2.6189189                       52.141941
               2.6888888                       52.007397
               2.7347534                       51.919342
               2.7588587                       51.873089
               2.8288288                       51.738876
               2.8987987                        51.60463
               2.9218409                        51.56039
               2.9687686                       51.470238
               3.0387385                       51.335617
               3.1087086                       51.200684
                3.121727                       51.175541
               3.1786788                        51.06538
               3.2486486                       50.929649
               3.3186185                       50.793453
               3.3352876                       50.760933
               3.3885884                        50.65675
               3.4585583                        50.51952
               3.5285285                       50.381741
                3.563458                       50.312752
               3.5984983                       50.243401
               3.6684685                       50.104488
               3.7384384                       49.965004
               3.8072379                       49.827297
               3.8084083                       49.824951
               3.8783784                        49.68433
               3.9483483                       49.543148
               4.0183182                       49.401424
               4.0676951                       49.301086
               4.0882883                       49.259163
                4.158258                       49.116386
               4.2282281                       48.973114
               4.2981977                       48.829361
               4.3459702                       48.730949
               4.3681679                        48.68515
                4.438138                       48.540504
               4.5081081                       48.395451
               4.5780783                       48.250011
               4.6432824                       48.114155
               4.6480479                       48.104214
               4.7180181                       47.958084
               4.7879877                       47.811646
               4.8579578                       47.664932
               4.9279275                       47.517967
               4.9609342                       47.448563
               4.9978976                       47.370781
               5.0678673                         47.2234
               5.1378379                       47.075855
                5.207808                       46.928173
               5.2777777                       46.780384
               5.3003168                       46.732758
               5.3477478                       46.632515
               5.4177175                       46.484589
               5.4876876                       46.336643
               5.5576572                       46.188702
               5.6276274                       46.040787
               5.6629171                       45.966206
               5.6975975                       45.892933
               5.7675672                       45.745163
               5.8375378                         45.5975
               5.9075074                       45.449978
               5.9774776                       45.302616
               6.0474472                       45.155441
                6.050323                       45.149395
               6.1174173                       45.008476
                6.187387                       44.861748
               6.2573571                       44.715279
               6.3273273                       44.569088
               6.3972969                       44.423203
                6.464232                       44.283951
                6.467267                       44.277645
               6.5372367                       44.132431
               6.6072073                       43.987587
                6.677177                       43.843128
               6.7471471                       43.699081
               6.8171172                       43.555458
               6.8870869                       43.412281
               6.9064565                       43.372723
                6.957057                       43.269566
               7.0270267                       43.127331
               7.0969968                       42.985592
               7.1669664                       42.844368
               7.2369366                       42.703671
               7.3069067                       42.563522
               7.3768768                       42.423927
               7.3789344                       42.419834
                7.446847                       42.284908
               7.5168166                       42.146477
               7.5867867                       42.008644
               7.6567564                       41.871422
               7.7267265                       41.734825
               7.7966962                       41.598866
               7.8666663                       41.463551
               7.8837347                       41.430641
                7.936636                       41.328892
               8.0066071                       41.194901
               8.0765762                       41.061584
               8.1465464                       40.928955
               8.2165165                       40.797024
               8.2864866                       40.665791
               8.3564558                       40.535267
                8.423069                       40.411674
               8.4264259                       40.405464
               8.4963961                       40.276382
               8.5663662                       40.148033
               8.6363363                        40.02042
               8.7063055                       39.893551
               8.7762756                       39.767429
               8.8462458                       39.642059
               8.9162159                       39.517448
               8.9861851                         39.3936
                  8.9993                       39.370472
               9.0561552                       39.270515
               9.1261263                       39.148201
               9.1960964                       39.026657
               9.2660666                       38.905891
               9.3360357                         38.7859
               9.4060059                       38.666691
                9.475976                       38.548264
               9.5459461                       38.430622
               9.6149521                       38.315369
               9.6159153                       38.313763
               9.6858854                       38.197693
               9.7558556                       38.082405
               9.8258257                       37.967911
               9.8957958                       37.854202
                9.965765                        37.74128
               10.035735                        37.62915
               10.105705                       37.517807
               10.175675                       37.407249
               10.245645                       37.297482
                10.27272                       37.255219
               10.315615                       37.188499
               10.385585                       37.080303
               10.455555                       36.972889
               10.525526                       36.866257
               10.595495                       36.760406
               10.665465                       36.655334
               10.735435                       36.551041
               10.805406                       36.447521
               10.875376                       36.344776
               10.945345                       36.242798
               10.975488                       36.199104
               11.015315                        36.14159
               11.085285                       36.041145
               11.155255                       35.941463
               11.225224                       35.842541
               11.295195                       35.744377
               11.365165                       35.646965
               11.435135                       35.550301
               11.505105                       35.454388
               11.575074                       35.359215
               11.645044                       35.264782
               11.715014                       35.171089
               11.726333                       35.156002
               11.784985                       35.078125
               11.854954                       34.985893
               11.924924                       34.894382
               11.994895                       34.803596
               12.064865                       34.713528
               12.134835                       34.624172
               12.204804                       34.535522
               12.274775                       34.447582
               12.344745                        34.36034
               12.414715                       34.273796
               12.484684                       34.187946
               12.528543                       34.134483
               12.554654                       34.102783
               12.624624                       34.018303
               12.694594                       33.934502
               12.764565                       33.851379
               12.834534                       33.768925
               12.904504                       33.687138
               12.974474                        33.60601
               13.044444                       33.525543
               13.114413                       33.445724
               13.184383                       33.366558
               13.254354                       33.288033
               13.324324                       33.210148
               13.385633                       33.142426
               13.394295                       33.132896
               13.464264                       33.056274
               13.534234                       32.980278
               13.604204                       32.904903
               13.674174                       32.830143
               13.744144                       32.755997
               13.814114                       32.682453
               13.884084                       32.609516
               13.954054                       32.537174
               14.024024                       32.465424
               14.093993                       32.394264
               14.163963                       32.323685
               14.233933                       32.253685
               14.301358                       32.186779
               14.303904                       32.184261
               14.373874                        32.11541
               14.443843                       32.047119
               14.513813                       31.979391
               14.583783                       31.912218
               14.653753                       31.845598
               14.723722                       31.779526
               14.793693                       31.713995
               14.863664                       31.649002
               14.933634                       31.584541
               15.003604                       31.520613
               15.073573                       31.457207
               15.143543                       31.394323
               15.213513                       31.331953
               15.279729                       31.273403
               15.283484                       31.270096
               15.353453                       31.208746
               15.423423                         31.1479
               15.493393                       31.087551
               15.563363                       31.027697
               15.633333                       30.968332
               15.703302                       30.909454
               15.773273                       30.851059
               15.843243                       30.793139
               15.913213                       30.735693
               15.983182                       30.678717
               16.053152                       30.622206
               16.123123                       30.566154
               16.193092                       30.510561
               16.263063                       30.455421
               16.325031                       30.406961
               16.333033                       30.400728
               16.403004                       30.346481
               16.472973                       30.292677
               16.542942                       30.239307
               16.612913                       30.186373
               16.682882                       30.133865
               16.752853                       30.081785
               16.822823                       30.030127
               16.892792                       29.978886
               16.962763                       29.928059
               17.032732                       29.877642
               17.102701                       29.827631
               17.172672                       29.778025
               17.242641                       29.728819
               17.312613                       29.680006
               17.382582                       29.631588
               17.441843                       29.590883
               17.452551                       29.583557
