       Frequency / GHz                Eps'' (Data list)/real
----------------------------------------------------------------------
             0.099999994                       144.08556
              0.19999999                       80.959801
              0.29999998                       58.064281
              0.39999998                       46.102062
               0.4222222                       44.177666
                     0.5                       38.737686
              0.59999996                       33.756889
              0.69999999                       30.177122
              0.74444437                       28.894209
              0.79999995                       27.493328
              0.89999998                       25.418377
               1.0666666                       22.864769
               1.3888888                       19.815733
               1.7111111                       18.105246
               2.0333333                       17.108236
               2.3555555                       16.533228
               2.6777775                       16.225477
                       3                       16.095039

        Frequency / GHz                Eps' (Data list)/real
----------------------------------------------------------------------
             0.099999994                       90.658821
              0.19999999                       72.736702
              0.29999998                        66.49102
              0.39999998                       63.223743
               0.4222222                       62.693001
                     0.5                        61.17606
              0.59999996                       59.751129
              0.69999999                       58.688545
              0.74444437                       58.295437
              0.79999995                         57.8559
              0.89999998                       57.178478
               1.0666666                       56.278423
               1.3888888                       55.010929
               1.7111111                       54.072449
               2.0333333                       53.304398
               2.3555555                       52.633606
               2.6777775                       52.021805
                       3                       51.447231
