        Frequency / GHz                Eps'/real
----------------------------------------------------------------------
             0.099999994                              74
               0.1068411                              74
              0.11415021                              74
              0.12195934                              74
              0.13030271                              74
              0.13921684                              74
              0.14874083                              74
              0.15891632                              74
              0.16978796                              74
              0.16996996                              74
              0.18140334                              74
              0.19381332                              74
               0.2070723                              74
              0.22123833                              74
              0.23637347                              74
              0.23993993                              74
              0.25254402                              74
              0.26982084                              74
              0.28827953                              74
              0.30800104                              74
              0.30990991                              74
               0.3290717                              74
              0.35158384                              74
              0.37563604                              74
              0.37987986                              74
              0.40133372                              74
              0.42878938                              74
              0.44984984                              74
               0.4581233                              74
              0.48946396                              74
               0.5198198                              74
              0.52294868                              74
              0.55872416                              74
              0.58978975                              74
              0.59694707                              74
              0.63778484                              74
               0.6597597                              74
              0.68141639                              74
              0.72803277                              74
              0.72972971                              74
              0.77783817                              74
              0.79969966                              74
              0.83105093                              74
              0.86966968                              74
              0.88790399                              74
              0.93963957                              74
              0.94864637                              74
               1.0096096                              74
               1.0135443                              74
               1.0795795                              74
               1.0828819                              74
               1.1495495                              74
               1.1569629                              74
               1.2195195                              74
                1.236112                              74
               1.2894895                              74
               1.3206757                              74
               1.3594594                              74
               1.4110245                              74
               1.4294293                              74
               1.4993994                              74
               1.5075542                              74
               1.5693693                              74
               1.6106875                              74
               1.6393393                              74
               1.7093092                              74
               1.7208762                              74
               1.7792792                              74
               1.8386033                              74
               1.8492492                              74
               1.9192191                              74
                1.964384                              74
               1.9891891                              74
                2.059159                              74
               2.0987694                              74
               2.1291289                              74
               2.1990991                              74
               2.2423484                              74
                2.269069                              74
               2.3390388                              74
               2.3957498                              74
               2.4090087                              74
               2.4789791                              74
                2.548949                              74
               2.5596457                              74
               2.6189189                              74
               2.6888888                              74
               2.7347534                              74
               2.7588587                              74
               2.8288288                              74
               2.8987987                              74
               2.9218409                              74
               2.9687686                              74
               3.0387385                              74
               3.1087086                              74
                3.121727                              74
               3.1786788                              74
               3.2486486                              74
               3.3186185                              74
               3.3352876                              74
               3.3885884                              74
               3.4585583                              74
               3.5285285                              74
                3.563458                              74
               3.5984983                              74
               3.6684685                              74
               3.7384384                              74
               3.8072379                              74
               3.8084083                              74
               3.8783784                              74
               3.9483483                              74
               4.0183182                              74
               4.0676951                              74
               4.0882883                              74
                4.158258                              74
               4.2282281                              74
               4.2981977                              74
               4.3459702                              74
               4.3681679                              74
                4.438138                              74
               4.5081081                              74
               4.5780783                              74
               4.6432824                              74
               4.6480479                              74
               4.7180181                              74
               4.7879877                              74
               4.8579578                              74
               4.9279275                              74
               4.9609342                              74
               4.9978976                              74
               5.0678673                              74
               5.1378379                              74
                5.207808                              74
               5.2777777                              74
               5.3003168                              74
               5.3477478                              74
               5.4177175                              74
               5.4876876                              74
               5.5576572                              74
               5.6276274                              74
               5.6629171                              74
               5.6975975                              74
               5.7675672                              74
               5.8375378                              74
               5.9075074                              74
               5.9774776                              74
               6.0474472                              74
                6.050323                              74
               6.1174173                              74
                6.187387                              74
               6.2573571                              74
               6.3273273                              74
               6.3972969                              74
                6.464232                              74
                6.467267                              74
               6.5372367                              74
               6.6072073                              74
                6.677177                              74
               6.7471471                              74
               6.8171172                              74
               6.8870869                              74
               6.9064565                              74
                6.957057                              74
               7.0270267                              74
               7.0969968                              74
               7.1669664                              74
               7.2369366                              74
               7.3069067                              74
               7.3768768                              74
               7.3789344                              74
                7.446847                              74
               7.5168166                              74
               7.5867867                              74
               7.6567564                              74
               7.7267265                              74
               7.7966962                              74
               7.8666663                              74
               7.8837347                              74
                7.936636                              74
               8.0066071                              74
               8.0765762                              74
               8.1465464                              74
               8.2165165                              74
               8.2864866                              74
               8.3564558                              74
                8.423069                              74
               8.4264259                              74
               8.4963961                              74
               8.5663662                              74
               8.6363363                              74
               8.7063055                              74
               8.7762756                              74
               8.8462458                              74
               8.9162159                              74
               8.9861851                              74
                  8.9993                              74
               9.0561552                              74
               9.1261263                              74
               9.1960964                              74
               9.2660666                              74
               9.3360357                              74
               9.4060059                              74
                9.475976                              74
               9.5459461                              74
               9.6149521                              74
               9.6159153                              74
               9.6858854                              74
               9.7558556                              74
               9.8258257                              74
               9.8957958                              74
                9.965765                              74
               10.035735                              74
               10.105705                              74
               10.175675                              74
               10.245645                              74
                10.27272                              74
               10.315615                              74
               10.385585                              74
               10.455555                              74
               10.525526                              74
               10.595495                              74
               10.665465                              74
               10.735435                              74
               10.805406                              74
               10.875376                              74
               10.945345                              74
               10.975488                              74
               11.015315                              74
               11.085285                              74
               11.155255                              74
               11.225224                              74
               11.295195                              74
               11.365165                              74
               11.435135                              74
               11.505105                              74
               11.575074                              74
               11.645044                              74
               11.715014                              74
               11.726333                              74
               11.784985                              74
               11.854954                              74
               11.924924                              74
               11.994895                              74
               12.064865                              74
               12.134835                              74
               12.204804                              74
               12.274775                              74
               12.344745                              74
               12.414715                              74
               12.484684                              74
               12.528543                              74
               12.554654                              74
               12.624624                              74
               12.694594                              74
               12.764565                              74
               12.834534                              74
               12.904504                              74
               12.974474                              74
               13.044444                              74
               13.114413                              74
               13.184383                              74
               13.254354                              74
               13.324324                              74
               13.385633                              74
               13.394295                              74
               13.464264                              74
               13.534234                              74
               13.604204                              74
               13.674174                              74
               13.744144                              74
               13.814114                              74
               13.884084                              74
               13.954054                              74
               14.024024                              74
               14.093993                              74
               14.163963                              74
               14.233933                              74
               14.301358                              74
               14.303904                              74
               14.373874                              74
               14.443843                              74
               14.513813                              74
               14.583783                              74
               14.653753                              74
               14.723722                              74
               14.793693                              74
               14.863664                              74
               14.933634                              74
               15.003604                              74
               15.073573                              74
               15.143543                              74
               15.213513                              74
               15.279729                              74
               15.283484                              74
               15.353453                              74
               15.423423                              74
               15.493393                              74
               15.563363                              74
               15.633333                              74
               15.703302                              74
               15.773273                              74
               15.843243                              74
               15.913213                              74
               15.983182                              74
               16.053152                              74
               16.123123                              74
               16.193092                              74
               16.263063                              74
               16.325031                              74
               16.333033                              74
               16.403004                              74
               16.472973                              74
               16.542942                              74
               16.612913                              74
               16.682882                              74
               16.752853                              74
               16.822823                              74
               16.892792                              74
               16.962763                              74
               17.032732                              74
               17.102701                              74
               17.172672                              74
               17.242641                              74
               17.312613                              74
               17.382582                              74
               17.441843                              74
               17.452551                              74
               17.522522                              74
               17.592491                              74
               17.662462                              74
               17.732431                              74
               17.802401                              74
               17.872372                              74
               17.942341                              74
               18.012312                              74
               18.082281                              74
                18.15225                              74
               18.222221                              74
               18.292191                              74
                18.36216                              74
               18.432133                              74
               18.502102                              74
               18.572073                              74
               18.635059                              74
               18.642042                              74
               18.712011                              74
               18.781982                              74
               18.851952                              74
               18.921923                              74
               18.991892                              74
               19.061861                              74
               19.131832                              74
               19.201801                              74
               19.271772                              74
               19.341742                              74
               19.411711                              74
               19.481682                              74
               19.551651                              74
               19.621622                              74
               19.691591                              74
                19.76156                              74
               19.831532                              74
               19.901501                              74
               19.909903                              74
                19.97147                              74
               20.041441                              74
                20.11141                              74
               20.181381                              74
                20.25135                              74
                20.32132                              74
               20.391291                              74
                20.46126                              74
               20.531231                              74
                 20.6012                              74
               20.671169                              74
                20.74114                              74
                20.81111                              74
               20.881081                              74
                20.95105                              74
               21.021019                              74
                21.09099                              74
               21.160959                              74
               21.230928                              74
               21.271959                              74
               21.300901                              74
               21.370871                              74
               21.440842                              74
               21.510811                              74
                21.58078                              74
               21.650751                              74
                21.72072                              74
               21.790691                              74
               21.860661                              74
                21.93063                              74
               22.000601                              74
                22.07057                              74
               22.140541                              74
                22.21051                              74
               22.280479                              74
               22.350451                              74
                22.42042                              74
               22.490391                              74
                22.56036                              74
               22.630329                              74
                 22.7003                              74
               22.727196                              74
               22.770269                              74
               22.840239                              74
                22.91021                              74
               22.980179                              74
                23.05015                              74
               23.120119                              74
               23.190088                              74
               23.260059                              74
               23.330029                              74
                    23.4                              74
               23.469969                              74
               23.539938                              74
